OM	w
0.057023038	-0.419525232
0.057027373	-0.423855510
0.057031708	-0.428185788
0.057036043	-0.432516066
0.057040378	-0.436846344
0.057044713	-0.441176622
0.057049048	-0.445506901
0.057053383	-0.449837179
0.057057718	-0.454167457
0.057062053	-0.458497735
0.057066389	-0.462828013
0.057070724	-0.467158291
0.057075059	-0.471488569
0.057079394	-0.475818847
0.057083729	-0.480149125
0.057088064	-0.484479403
0.057092399	-0.488809682
0.057096734	-0.493139960
0.057101069	-0.497470238
0.058274435	-0.380547912
0.058278770	-0.384878190
0.058283105	-0.389208469
0.058287440	-0.393538747
0.058291775	-0.397869025
0.058296110	-0.402199303
0.058300446	-0.406529581
0.058304781	-0.410859859
0.058309116	-0.415190137
0.058313451	-0.419520415
0.058317786	-0.423850693
0.058322121	-0.428180971
0.058326456	-0.432511250
0.058330791	-0.436841528
0.058335126	-0.441171806
0.058339461	-0.445502084
0.058343796	-0.449832362
0.058348132	-0.454162640
0.058352467	-0.458492918
0.058356802	-0.462823196
0.058361137	-0.467153474
0.058365472	-0.471483752
0.058369807	-0.475814030
0.058374142	-0.480144309
0.058378477	-0.484474587
0.058382812	-0.488804865
0.058387147	-0.493135143
0.058391483	-0.497465421
0.058395818	-0.501795699
0.059564848	-0.380543096
0.059569183	-0.384873374
0.059573518	-0.389203652
0.059577853	-0.393533930
0.059582189	-0.397864208
0.059586524	-0.402194486
0.059590859	-0.406524764
0.059595194	-0.410855042
0.059599529	-0.415185320
0.059603864	-0.419515598
0.059608199	-0.423845877
0.059612534	-0.428176155
0.059616869	-0.432506433
